[x, y]
[588.0, 345744.0]
[589.0, 346921.0]
[590.0, 348100.0]
[591.0, 349281.0]
[592.0, 350464.0]
[593.0, 351649.0]
[594.0, 352836.0]
[595.0, 354025.0]
[596.0, 355216.0]
[597.0, 356409.0]
[598.0, 357604.0]
[599.0, 358801.0]
[600.0, 360000.0]
[601.0, 361201.0]
[602.0, 362404.0]
[603.0, 363609.0]
[604.0, 364816.0]
[605.0, 366025.0]
[606.0, 367236.0]
[607.0, 368449.0]
[608.0, 369664.0]
[609.0, 370881.0]
[610.0, 372100.0]
[611.0, 373321.0]
[612.0, 374544.0]
[613.0, 375769.0]
[614.0, 376996.0]
[615.0, 378225.0]
[616.0, 379456.0]
[617.0, 380689.0]
[618.0, 381924.0]
[619.0, 383161.0]
[620.0, 384400.0]
[621.0, 385641.0]
[622.0, 386884.0]
[623.0, 388129.0]
[624.0, 389376.0]
[625.0, 390625.0]
[626.0, 391876.0]
[627.0, 393129.0]
[628.0, 394384.0]
[629.0, 395641.0]
[630.0, 396900.0]
[631.0, 398161.0]
[632.0, 399424.0]
[633.0, 400689.0]
[634.0, 401956.0]
[635.0, 403225.0]
[636.0, 404496.0]
[637.0, 405769.0]
[638.0, 407044.0]
[639.0, 408321.0]
[640.0, 409600.0]
[641.0, 410881.0]
[642.0, 412164.0]
[643.0, 413449.0]
[644.0, 414736.0]
[645.0, 416025.0]
[646.0, 417316.0]
[647.0, 418609.0]
[648.0, 419904.0]
[649.0, 421201.0]
[650.0, 422500.0]
[651.0, 423801.0]
[652.0, 425104.0]
[653.0, 426409.0]
[654.0, 427716.0]
[655.0, 429025.0]
[656.0, 430336.0]
[657.0, 431649.0]
[658.0, 432964.0]
[659.0, 434281.0]
[660.0, 435600.0]
[661.0, 436921.0]
[662.0, 438244.0]
[663.0, 439569.0]
[664.0, 440896.0]
[665.0, 442225.0]
[666.0, 443556.0]
[667.0, 444889.0]
[668.0, 446224.0]
[669.0, 447561.0]
[670.0, 448900.0]
[671.0, 450241.0]
[672.0, 451584.0]
[673.0, 452929.0]
[674.0, 454276.0]
[675.0, 455625.0]
[676.0, 456976.0]
[677.0, 458329.0]
[678.0, 459684.0]
[679.0, 461041.0]
[680.0, 462400.0]
[681.0, 463761.0]
[682.0, 465124.0]
[683.0, 466489.0]
[684.0, 467856.0]
[685.0, 469225.0]
[686.0, 470596.0]
[687.0, 471969.0]
[688.0, 473344.0]
[689.0, 474721.0]
[690.0, 476100.0]
[691.0, 477481.0]
[692.0, 478864.0]
[693.0, 480249.0]
[694.0, 481636.0]
[695.0, 483025.0]
[696.0, 484416.0]
[697.0, 485809.0]
[698.0, 487204.0]
[699.0, 488601.0]
[700.0, 490000.0]
[701.0, 491401.0]
[702.0, 492804.0]
[703.0, 494209.0]
[704.0, 495616.0]
[705.0, 497025.0]
[706.0, 498436.0]
[707.0, 499849.0]
[708.0, 501264.0]
[709.0, 502681.0]
[710.0, 504100.0]
[711.0, 505521.0]
[712.0, 506944.0]
[713.0, 508369.0]
[714.0, 509796.0]
[715.0, 511225.0]
[716.0, 512656.0]
[717.0, 514089.0]
[718.0, 515524.0]
[719.0, 516961.0]
[720.0, 518400.0]
[721.0, 519841.0]
[722.0, 521284.0]
[723.0, 522729.0]
[724.0, 524176.0]
[725.0, 525625.0]
[726.0, 527076.0]
[727.0, 528529.0]
[728.0, 529984.0]
[729.0, 531441.0]
[730.0, 532900.0]
[731.0, 534361.0]
[732.0, 535824.0]
[733.0, 537289.0]
[734.0, 538756.0]
[735.0, 540225.0]
[736.0, 541696.0]
[737.0, 543169.0]
[738.0, 544644.0]
[739.0, 546121.0]
[740.0, 547600.0]
[741.0, 549081.0]
[742.0, 550564.0]
[743.0, 552049.0]
[744.0, 553536.0]
[745.0, 555025.0]
[746.0, 556516.0]
[747.0, 558009.0]
[748.0, 559504.0]
[749.0, 561001.0]
[750.0, 562500.0]
[751.0, 564001.0]
[752.0, 565504.0]
[753.0, 567009.0]
[754.0, 568516.0]
[755.0, 570025.0]
[756.0, 571536.0]
[757.0, 573049.0]
[758.0, 574564.0]
[759.0, 576081.0]
[760.0, 577600.0]
[761.0, 579121.0]
[762.0, 580644.0]
[763.0, 582169.0]
[764.0, 583696.0]
[765.0, 585225.0]
[766.0, 586756.0]
[767.0, 588289.0]
[768.0, 589824.0]
[769.0, 591361.0]
[770.0, 592900.0]
[771.0, 594441.0]
[772.0, 595984.0]
[773.0, 597529.0]
[774.0, 599076.0]
[775.0, 600625.0]
[776.0, 602176.0]
[777.0, 603729.0]
[778.0, 605284.0]
[779.0, 606841.0]
[780.0, 608400.0]
[781.0, 609961.0]
[782.0, 611524.0]
[783.0, 613089.0]
[784.0, 614656.0]
[785.0, 616225.0]
[786.0, 617796.0]
[787.0, 619369.0]
[788.0, 620944.0]
[789.0, 622521.0]
[790.0, 624100.0]
[791.0, 625681.0]
[792.0, 627264.0]
[793.0, 628849.0]
[794.0, 630436.0]
[795.0, 632025.0]
[796.0, 633616.0]
[797.0, 635209.0]
[798.0, 636804.0]
[799.0, 638401.0]
[800.0, 640000.0]
[801.0, 641601.0]
[802.0, 643204.0]
[803.0, 644809.0]
[804.0, 646416.0]
[805.0, 648025.0]
[806.0, 649636.0]
[807.0, 651249.0]
[808.0, 652864.0]
[809.0, 654481.0]
[810.0, 656100.0]
[811.0, 657721.0]
[812.0, 659344.0]
[813.0, 660969.0]
[814.0, 662596.0]
[815.0, 664225.0]
[816.0, 665856.0]
[817.0, 667489.0]
[818.0, 669124.0]
[819.0, 670761.0]
[820.0, 672400.0]
[821.0, 674041.0]
[822.0, 675684.0]
[823.0, 677329.0]
[824.0, 678976.0]
[825.0, 680625.0]
[826.0, 682276.0]
[827.0, 683929.0]
[828.0, 685584.0]
[829.0, 687241.0]
[830.0, 688900.0]
[831.0, 690561.0]
[832.0, 692224.0]
[833.0, 693889.0]
[834.0, 695556.0]
[835.0, 697225.0]
[836.0, 698896.0]
[837.0, 700569.0]
[838.0, 702244.0]
[839.0, 703921.0]
[840.0, 705600.0]
[841.0, 707281.0]
[842.0, 708964.0]
[843.0, 710649.0]
[844.0, 712336.0]
[845.0, 714025.0]
[846.0, 715716.0]
[847.0, 717409.0]
[848.0, 719104.0]
[849.0, 720801.0]
[850.0, 722500.0]
[851.0, 724201.0]
[852.0, 725904.0]
[853.0, 727609.0]
[854.0, 729316.0]
[855.0, 731025.0]
[856.0, 732736.0]
[857.0, 734449.0]
[858.0, 736164.0]
[859.0, 737881.0]
[860.0, 739600.0]
[861.0, 741321.0]
[862.0, 743044.0]
[863.0, 744769.0]
[864.0, 746496.0]
[865.0, 748225.0]
[866.0, 749956.0]
[867.0, 751689.0]
[868.0, 753424.0]
[869.0, 755161.0]
[870.0, 756900.0]
[871.0, 758641.0]
[872.0, 760384.0]
[873.0, 762129.0]
[874.0, 763876.0]
[875.0, 765625.0]
[876.0, 767376.0]
[877.0, 769129.0]
[878.0, 770884.0]
[879.0, 772641.0]
[880.0, 774400.0]
[881.0, 776161.0]
[882.0, 777924.0]
[883.0, 779689.0]
[884.0, 781456.0]
[885.0, 783225.0]
[886.0, 784996.0]
[887.0, 786769.0]
[888.0, 788544.0]
[889.0, 790321.0]
[890.0, 792100.0]
[891.0, 793881.0]
[892.0, 795664.0]
[893.0, 797449.0]
[894.0, 799236.0]
[895.0, 801025.0]
[896.0, 802816.0]
[897.0, 804609.0]
[898.0, 806404.0]
[899.0, 808201.0]
[900.0, 810000.0]
[901.0, 811801.0]
[902.0, 813604.0]
[903.0, 815409.0]
[904.0, 817216.0]
[905.0, 819025.0]
[906.0, 820836.0]
[907.0, 822649.0]
[908.0, 824464.0]
[909.0, 826281.0]
[910.0, 828100.0]
[911.0, 829921.0]
[912.0, 831744.0]
[913.0, 833569.0]
[914.0, 835396.0]
[915.0, 837225.0]
[916.0, 839056.0]
[917.0, 840889.0]
[918.0, 842724.0]
[919.0, 844561.0]
[920.0, 846400.0]
[921.0, 848241.0]
[922.0, 850084.0]
[923.0, 851929.0]
[924.0, 853776.0]
[925.0, 855625.0]
[926.0, 857476.0]
[927.0, 859329.0]
[928.0, 861184.0]
[929.0, 863041.0]
[930.0, 864900.0]
[931.0, 866761.0]
[932.0, 868624.0]
[933.0, 870489.0]
[934.0, 872356.0]
[935.0, 874225.0]
[936.0, 876096.0]
[937.0, 877969.0]
[938.0, 879844.0]
[939.0, 881721.0]
[940.0, 883600.0]
[941.0, 885481.0]
[942.0, 887364.0]
[943.0, 889249.0]
[944.0, 891136.0]
[945.0, 893025.0]
[946.0, 894916.0]
[947.0, 896809.0]
[948.0, 898704.0]
[949.0, 900601.0]
[950.0, 902500.0]
[951.0, 904401.0]
[952.0, 906304.0]
[953.0, 908209.0]
[954.0, 910116.0]
[955.0, 912025.0]
[956.0, 913936.0]
[957.0, 915849.0]
[958.0, 917764.0]
[959.0, 919681.0]
[960.0, 921600.0]
[961.0, 923521.0]
[962.0, 925444.0]
[963.0, 927369.0]
[964.0, 929296.0]
[965.0, 931225.0]
[966.0, 933156.0]
[967.0, 935089.0]
[968.0, 937024.0]
[969.0, 938961.0]
[970.0, 940900.0]
[971.0, 942841.0]
[972.0, 944784.0]
[973.0, 946729.0]
[974.0, 948676.0]
[975.0, 950625.0]
[976.0, 952576.0]
[977.0, 954529.0]
[978.0, 956484.0]
[979.0, 958441.0]
[980.0, 960400.0]
[981.0, 962361.0]
[982.0, 964324.0]
[983.0, 966289.0]
[984.0, 968256.0]
[985.0, 970225.0]
[986.0, 972196.0]
[987.0, 974169.0]
[988.0, 976144.0]
[989.0, 978121.0]
[990.0, 980100.0]
[991.0, 982081.0]
[992.0, 984064.0]
[993.0, 986049.0]
[994.0, 988036.0]
[995.0, 990025.0]
[996.0, 992016.0]
[997.0, 994009.0]
[998.0, 996004.0]
[999.0, 998001.0]
[1000.0, 1000000.0]
[1001.0, 1002001.0]
[1002.0, 1004004.0]
[1003.0, 1006009.0]
[1004.0, 1008016.0]
[1005.0, 1010025.0]
[1006.0, 1012036.0]
[1007.0, 1014049.0]
[1008.0, 1016064.0]
[1009.0, 1018081.0]
[1010.0, 1020100.0]
[1011.0, 1022121.0]
[1012.0, 1024144.0]
[1013.0, 1026169.0]
[1014.0, 1028196.0]
[1015.0, 1030225.0]
[1016.0, 1032256.0]
[1017.0, 1034289.0]
[1018.0, 1036324.0]
[1019.0, 1038361.0]
[1020.0, 1040400.0]
[1021.0, 1042441.0]
[1022.0, 1044484.0]
[1023.0, 1046529.0]
[1024.0, 1048576.0]
[1025.0, 1050625.0]
[1026.0, 1052676.0]
[1027.0, 1054729.0]
[1028.0, 1056784.0]
[1029.0, 1058841.0]
[1030.0, 1060900.0]
[1031.0, 1062961.0]
[1032.0, 1065024.0]
[1033.0, 1067089.0]
[1034.0, 1069156.0]
[1035.0, 1071225.0]
[1036.0, 1073296.0]
[1037.0, 1075369.0]
[1038.0, 1077444.0]
[1039.0, 1079521.0]
[1040.0, 1081600.0]
[1041.0, 1083681.0]
[1042.0, 1085764.0]
[1043.0, 1087849.0]
[1044.0, 1089936.0]
[1045.0, 1092025.0]
[1046.0, 1094116.0]
[1047.0, 1096209.0]
[1048.0, 1098304.0]
[1049.0, 1100401.0]
[1050.0, 1102500.0]
[1051.0, 1104601.0]
[1052.0, 1106704.0]
[1053.0, 1108809.0]
[1054.0, 1110916.0]
[1055.0, 1113025.0]
[1056.0, 1115136.0]
[1057.0, 1117249.0]
[1058.0, 1119364.0]
[1059.0, 1121481.0]
[1060.0, 1123600.0]
[1061.0, 1125721.0]
[1062.0, 1127844.0]
[1063.0, 1129969.0]
[1064.0, 1132096.0]
[1065.0, 1134225.0]
[1066.0, 1136356.0]
[1067.0, 1138489.0]
[1068.0, 1140624.0]
[1069.0, 1142761.0]
[1070.0, 1144900.0]
[1071.0, 1147041.0]
[1072.0, 1149184.0]
[1073.0, 1151329.0]
[1074.0, 1153476.0]
[1075.0, 1155625.0]
[1076.0, 1157776.0]
[1077.0, 1159929.0]
[1078.0, 1162084.0]
[1079.0, 1164241.0]
[1080.0, 1166400.0]
[1081.0, 1168561.0]
[1082.0, 1170724.0]
[1083.0, 1172889.0]
[1084.0, 1175056.0]
[1085.0, 1177225.0]
[1086.0, 1179396.0]
[1087.0, 1181569.0]
[1088.0, 1183744.0]
[1089.0, 1185921.0]
[1090.0, 1188100.0]
[1091.0, 1190281.0]
[1092.0, 1192464.0]
[1093.0, 1194649.0]
[1094.0, 1196836.0]
[1095.0, 1199025.0]
[1096.0, 1201216.0]
[1097.0, 1203409.0]
[1098.0, 1205604.0]
[1099.0, 1207801.0]
[1100.0, 1210000.0]
[1101.0, 1212201.0]
[1102.0, 1214404.0]
[1103.0, 1216609.0]
[1104.0, 1218816.0]
[1105.0, 1221025.0]
[1106.0, 1223236.0]
[1107.0, 1225449.0]
[1108.0, 1227664.0]
[1109.0, 1229881.0]
[1110.0, 1232100.0]
[1111.0, 1234321.0]
[1112.0, 1236544.0]
[1113.0, 1238769.0]
[1114.0, 1240996.0]
[1115.0, 1243225.0]
[1116.0, 1245456.0]
[1117.0, 1247689.0]
[1118.0, 1249924.0]
[1119.0, 1252161.0]
[1120.0, 1254400.0]
[1121.0, 1256641.0]
[1122.0, 1258884.0]
[1123.0, 1261129.0]
[1124.0, 1263376.0]
[1125.0, 1265625.0]
[1126.0, 1267876.0]
[1127.0, 1270129.0]
[1128.0, 1272384.0]
[1129.0, 1274641.0]
[1130.0, 1276900.0]
[1131.0, 1279161.0]
[1132.0, 1281424.0]
[1133.0, 1283689.0]
[1134.0, 1285956.0]
[1135.0, 1288225.0]
[1136.0, 1290496.0]
[1137.0, 1292769.0]
[1138.0, 1295044.0]
[1139.0, 1297321.0]
[1140.0, 1299600.0]
[1141.0, 1301881.0]
[1142.0, 1304164.0]
[1143.0, 1306449.0]
