dataset,x,y
a,35.90360973,91.11186308
a,45.37801888,29.16921665
a,39.77748287,43.75581895
a,38.66446116,33.31723848
a,39.04403669,84.67601083
a,91.63996144,79.40660306
a,47.48813268,85.38993338
a,44.59021258,22.03401164
a,39.08961455,70.46619408
a,42.22937838,19.91406841
a,37.00038714,60.26427925
a,39.05208648,70.65250285
a,37.48841474,60.81440485
a,69.35955946,65.5213546
a,43.54277593,62.46031128
a,39.81123025,65.33483281
a,70.06892594,7.593465609
a,70.04054358,77.1438066
a,39.50578908,74.85162722
a,62.51689085,66.48473224
a,72.13992541,0.015119325
a,45.25157607,70.00342132
a,42.06330456,2.335196612
a,36.35569515,6.00584865
a,30.39182766,42.75961287
a,36.44900385,50.54626907
a,40.467576,60.02751209
a,81.7246168,6.037544846
a,48.8231975,76.63533058
a,35.62056177,57.28601558
a,50.58396311,71.8066161
a,61.85646511,71.79274316
a,39.32375603,59.30081967
a,42.18567914,66.03489782
a,30.84691899,37.3416401
a,29.34620043,42.14874183
a,82.11055798,1.210551663
a,38.30200581,60.01778579
a,56.58415302,70.51251481
a,33.33937429,0.509106735
a,78.77423904,35.48410121
a,27.92264424,25.98687818
a,71.69786512,10.86814451
a,74.13833139,49.17391898
a,32.57902007,1.808115597
a,59.83218542,69.15250814
a,35.03062855,12.53664934
a,74.30011983,42.47709459
a,63.25019706,65.9524862
a,34.17307376,25.69367431
a,40.91383193,38.55901955
a,62.83329309,62.51089423
a,42.47679238,56.73128997
a,52.03345628,64.56666203
a,48.90704296,74.28774883
a,59.85183839,72.95839097
a,48.9604602,72.62952573
a,46.84485517,36.79171369
a,39.96302158,42.94491485
a,66.704944,32.01509543
f,53.36656687,90.20803001
f,52.80197936,90.08806451
f,47.05412988,90.45893603
f,42.44843378,89.50770012
f,42.70403632,90.44262886
f,32.37893863,90.14414263
f,32.53070274,70.15739651
f,33.36526443,70.45933544
f,32.65609918,70.0510705
f,22.95509327,70.42689515
f,27.14984363,70.21080584
f,26.16690928,70.50031512
f,26.33145708,50.49455653
f,22.00370914,50.49944012
f,23.28474798,50.47435283
f,27.63403839,50.50366686
f,32.037108,50.50006612
f,29.33651065,50.46189397
f,40.81695313,50.4877602
f,42.73907512,50.48315599
f,51.86789377,50.49327326
f,43.37100189,50.50083732
f,53.0427983,50.48750387
f,56.6189103,50.50337402
f,70.56828982,50.49623612
f,67.87088729,70.06802613
f,58.82154659,70.45578175
f,60.18692784,70.48355125
f,59.43551748,50.42063261
f,49.58584348,50.43498138
f,41.77974178,50.47064228
f,46.12768634,30.44941078
f,38.03378377,50.49089952
f,44.54684128,50.41591338
f,46.2381176,30.49561294
f,49.73974533,30.47272489
f,39.11025189,30.47869518
f,39.14283779,30.79285594
f,34.62547027,30.49974103
f,34.75420747,30.495865
f,36.75370024,50.5293043
f,37.01935129,50.4926667
f,41.41711528,50.46977342
f,22.81710748,30.43604034
f,34.80070146,30.49793139
f,27.8918898,30.48497026
f,32.87063916,30.50234175
f,37.79404941,30.49263834
f,35.6673163,30.52203505
f,48.4422995,30.50172278
f,58.66937326,30.50683789
f,47.91695544,30.48672575
f,51.89416639,30.49475568
f,51.74908916,30.47299334
f,58.246553,50.44287449
f,57.31069687,50.48251329
f,67.96804811,50.45215891
f,65.94931927,50.49424079
f,55.74709281,50.4789748
f,68.40301004,50.49862723
f,76.69646563,50.49383056
f,67.21483712,70.26002844
f,72.30200573,70.22043738
f,66.76325739,70.47386171
f,51.68030044,89.99702755
f,53.09655736,89.54024371
f,42.24229294,89.70857859
f,56.23387566,89.63530816
f,54.68098658,89.96459946
f,57.90268661,89.61840173
f,51.82026255,89.8341304
f,56.82839534,89.58366473
f,58.27227859,69.90027296
f,51.82812745,70.35264921
f,44.84998426,70.39520297
f,24.27038239,50.48556769
f,34.74247144,70.33993489
f,37.79931493,70.46953588
f,49.78694106,89.65804699
f,59.75149741,89.73193252
f,64.77479924,90.13231674
f,70.8444476,89.92420902
f,70.60594551,90.04206196
f,78.64248839,89.55120323
f,70.81069225,89.59265401
f,66.76994662,70.42337521
f,73.33636816,70.31692717
f,73.10514816,70.30051188
f,74.67825414,70.44531419
f,80.24025095,70.35430896
f,70.94684907,50.47270179
f,88.66266381,50.45532602
f,84.40595283,50.49486589
f,75.98710471,50.49196696
f,91.11208542,50.48938939
f,98.28812327,30.60391937
f,95.06527484,30.50040287
f,95.24923396,30.45945421
f,49.65612629,50.43131987
f,63.01860093,30.49258193
f,70.5382006,30.48355825
f,70.08686977,30.51004482
f,62.68569044,30.54642456
f,69.23941796,30.50600524
f,80.40023368,30.48500637
f,74.64787823,30.67386286
f,65.99527272,30.47502419
f,67.088559,30.49452395
f,59.85257703,10.54318778
f,53.74899007,10.52257453
f,58.23909552,10.49489903
f,54.8103005,10.72492928
f,52.97671232,10.85949028
f,52.20389393,10.49563692
f,50.74516224,10.52490557
f,42.71319362,10.48754724
f,45.31722551,10.49587339
f,53.11691504,10.5068606
f,57.04980182,10.50813694
f,54.85463095,10.46391519
f,54.92484256,10.49833194
f,63.30955403,10.48881424
f,49.74949841,10.48580291
f,41.16931042,10.49730024
f,46.6883405,10.50753214
f,52.41892192,10.49590636
f,50.87848838,10.50308987
f,57.05330614,10.51406924
f,70.78645116,10.51369504
f,56.77214957,10.50327235
f,75.47722202,10.51856804
f,76.76591215,10.49699906
f,77.62104913,10.49587423
f,65.41448705,10.68184013
f,69.9647805,10.50723293
f,64.96973826,10.48215951
f,38.05024078,30.40794603
f,42.22412022,30.49803716
f,87.69846429,50.48993653
f,52.36033107,89.70431701
f,51.40678679,89.71213855
f,43.58846847,89.74553655
k,50.48150817,93.22270137
k,50.28240567,97.60998357
k,50.18670334,99.69468014
k,50.32691086,90.02205349
k,50.45620733,89.98741013
k,30.46484693,82.08923208
k,30.50159647,82.30712635
k,30.48956923,77.72988014
k,30.45024833,79.8348944
k,30.5183948,68.25258294
k,30.51166121,66.09371818
k,30.49807771,62.38498503
k,30.62022775,60.86008215
k,30.49218542,55.87891689
k,30.47463433,52.32215964
k,30.50099808,48.06969968
k,30.49442136,45.77347553
k,30.49954455,49.38209975
k,50.14439298,47.01428364
k,49.91289859,55.58783891
k,50.33742749,57.95531428
k,50.4189792,60.52491173
k,50.20525897,57.92421717
k,50.43531516,56.43932247
k,69.5057889,59.28492483
k,69.53407098,64.89297733
k,69.51010693,61.32962443
k,69.52632289,56.99527913
k,49.94723996,48.22957673
k,50.06310413,58.08503756
k,50.48990237,39.20541197
k,49.68886384,42.01851441
k,50.33348111,43.58867148
k,50.44675142,57.23058894
k,50.4209092,43.3479569
k,50.37405205,32.91824062
k,30.47682991,39.42460559
k,30.50347435,38.34855614
k,30.50483493,28.77148799
k,30.46221846,32.75047203
k,30.49130262,43.56137408
k,30.44965384,44.995123
k,30.48599422,47.34794647
k,30.50207679,36.44121292
k,30.47805889,28.02058049
k,30.50116088,38.31413856
k,30.50477302,26.41662567
k,30.50911533,22.82554712
k,50.11563217,16.69400655
k,50.44830134,21.64025646
k,50.17317743,29.17786439
k,49.92274192,38.44047291
k,50.31129937,26.86048827
k,50.39940961,38.96383892
k,50.33736264,40.91338614
k,50.2023181,47.212948
k,50.27493261,49.62349934
k,69.49438031,52.61241071
k,69.51933976,47.38453371
k,69.52918261,57.84126668
k,69.4957555,58.78507316
k,69.19905771,60.41895732
k,69.55109144,58.40109827
k,69.50668432,68.08446679
k,50.44411755,75.01329951
k,50.46722938,90.28146451
k,50.21088198,80.94177171
k,50.20540696,90.6405359
k,50.43829066,92.35476027
k,50.37351885,82.21920572
k,50.25368369,81.74382872
k,50.25047086,71.95138521
k,50.08705836,73.95187363
k,50.23107188,80.64738706
k,50.20774112,73.11450352
k,30.49950617,53.61252767
k,30.52036124,65.10040907
k,30.45495589,63.50177878
k,50.41647723,97.26969196
k,69.52506938,93.59805021
k,69.5202566,97.19387602
k,69.49897007,92.12048993
k,69.52861566,91.62208824
k,69.49976693,84.47968329
k,69.50380137,81.81540562
k,69.4875894,81.83598756
k,69.51911573,71.11596722
k,69.50437629,70.49344382
k,69.51257301,61.49756395
k,89.49420056,62.23432697
k,89.50012405,53.21633062
k,89.49024625,48.89079655
k,89.49778562,46.62990667
k,89.50485113,48.42340816
k,89.50105265,43.3473437
k,89.48884125,40.62509122
k,89.50162353,45.81517919
k,89.49752966,33.90137267
k,50.43909202,37.6707718
k,50.17985013,36.80755934
k,69.50507067,33.7401525
k,69.57986705,21.93523675
k,69.50647195,22.72866287
k,69.49947887,16.33746998
k,69.50026475,27.13602399
k,69.50415652,23.6689181
k,69.53227958,21.85090082
k,69.50011149,11.79162601
k,69.50481542,15.61435826
k,69.50347452,17.16908977
k,50.37740199,16.50601506
k,50.33942548,18.72345069
k,50.0936501,11.60771342
k,49.93412717,22.25613974
k,50.28881861,13.43641047
k,50.28799443,12.87228221
k,50.2347207,20.40447292
k,50.27970164,15.60873757
k,50.25300672,11.30208425
k,50.47414112,12.46199667
k,50.10843997,18.25904434
k,49.91905825,3.716853886
k,50.08366451,10.2358819
k,50.35226084,12.46860053
k,50.49757224,7.409625234
k,50.01630583,16.25368479
k,50.46822122,13.35670246
k,69.55067898,9.032987569
k,69.51867275,15.18048643
k,69.50345741,16.87831327
k,69.49948683,10.20782668
k,69.52752968,9.992296666
k,69.51909526,11.4226857
k,69.56189943,15.99980379
k,69.50104452,5.955833539
k,69.52463598,2.73476017
k,30.49959371,26.08556157
k,30.48739171,19.77947037
k,89.50018047,31.97891744
k,50.41027163,98.62836944
k,50.32592439,94.99463085
k,50.1040315,95.08853802
m,38.33775718,92.47271905
m,35.75187079,94.11676803
m,32.76721796,88.51829458
m,33.72960678,88.62226579
m,37.23824933,83.72492841
m,36.02719822,82.04078065
m,39.23928078,79.26372384
m,39.78452494,82.2605659
m,35.16602939,84.15649198
m,40.62211592,78.54210421
m,39.18190709,79.8190372
m,42.43088899,75.13363464
m,43.08125586,75.34670164
m,44.36071943,70.47420705
m,44.32477884,71.0459044
m,47.5521602,66.46040372
m,48.66492462,64.96100494
m,46.28063196,68.02842315
m,50.56324448,62.62382797
m,52.63096423,59.96393579
m,54.63620644,57.49384244
m,51.34602714,61.60055304
m,57.13485535,53.8779658
m,54.17124157,58.0598079
m,50.94238231,62.09739394
m,66.51292446,59.07128185
m,64.3979095,56.1748754
m,68.68659329,62.23734399
m,65.02779371,57.09625735
m,53.30450317,40.88384455
m,52.94517809,40.38462569
m,45.2257382,30.55522592
m,50.84330462,37.7446281
m,49.65929394,36.27344274
m,47.14278893,32.02506417
m,41.27005653,21.72181715
m,47.13012716,31.30990292
m,40.91597158,23.54159239
m,38.66016397,21.68954964
m,42.61255083,24.19505377
m,41.2090395,24.12870919
m,50.64922115,37.48379074
m,52.13190194,39.36460208
m,39.79727127,16.08354965
m,43.54988148,24.30721094
m,36.71466334,17.38180986
m,37.22461013,17.98006448
m,40.51244785,22.96221457
m,40.22206279,20.6146217
m,44.12496121,23.36624529
m,42.3462616,24.55832694
m,44.18908437,28.77262547
m,45.81424531,31.05697967
m,46.64311927,31.40721906
m,52.1898883,39.36779649
m,51.10031736,38.09569998
m,65.40083415,42.61403204
m,64.85203983,43.13373484
m,63.40380601,44.84749369
m,65.37154887,42.69597132
m,61.9080397,53.19035207
m,71.826653,65.68623036
m,72.65462316,66.87827761
m,76.88857816,72.16547208
m,43.74461968,71.26796108
m,39.05424844,83.1190207
m,39.93167463,79.939188
m,39.76282611,76.40596745
m,41.32338329,80.2118686
m,41.78732323,83.98807799
m,39.75564907,79.65709664
m,40.7498794,77.20465729
m,43.8568985,77.60984365
m,42.3678225,73.63827183
m,39.46295984,78.4599739
m,44.51733395,70.36934983
m,41.636093,76.24922292
m,45.42293218,69.09550167
m,42.00285627,97.83761472
m,76.10562903,95.30498058
m,79.20256268,92.40721563
m,84.84824409,95.42480453
m,81.56447532,83.79290723
m,85.4461864,83.07829384
m,80.31249138,76.51623895
m,80.7662323,79.89606568
m,82.67011248,81.71147985
m,77.16362548,73.52371896
m,74.07070003,68.47956429
m,74.11423087,71.92636352
m,68.94207546,62.63515058
m,73.24200233,67.35327113
m,71.86701316,34.32915759
m,71.56918885,34.69921861
m,71.48290969,34.68051699
m,78.12852205,23.13923184
m,78.78982525,25.59719335
m,77.7815468,23.44721447
m,48.53062937,34.15245001
m,65.53078147,42.2810847
m,70.11803414,36.44818479
m,70.47226261,36.08805306
m,76.79113007,28.07200817
m,72.40935459,33.03925697
m,76.27129982,25.56954415
m,76.95325914,27.77061074
m,75.10773009,30.01698342
m,75.9692852,29.03886538
m,75.28388701,24.87475317
m,77.05224064,27.90563909
m,42.82675634,25.55695941
m,42.08066069,24.94652645
m,39.87830465,18.32492922
m,36.47549917,17.71894779
m,37.10307364,15.44561165
m,34.14896821,13.52386987
m,37.57942191,15.01589013
m,41.06430579,12.21446893
m,42.19526615,20.91937219
m,36.60557824,15.74887589
m,39.43116121,19.32384075
m,37.56207634,11.9284457
m,34.23811004,13.71315823
m,34.14094104,4.57766135
m,36.6592677,17.68196446
m,40.64371928,20.24086137
m,36.79248159,13.39213473
m,75.94830064,22.74479591
m,76.84069247,20.91854722
m,81.95047764,19.87455821
m,81.64370569,16.59175998
m,84.61021978,14.2477619
m,84.10287943,8.98065579
m,80.18002545,19.08884413
m,80.57327299,8.365638902
m,79.00432686,10.62819777
m,40.04818647,24.26148793
m,34.79459354,13.96968346
m,79.22176444,22.09459148
m,36.03087977,93.12173324
m,34.49955831,86.60998505
m,31.10686656,89.46163524
j,58.21360826,91.88189151
j,58.19605369,92.21498865
j,58.71823072,90.31053209
j,57.27837287,89.90760672
j,58.08202049,92.00814501
j,57.48944777,88.08528556
j,28.08874132,63.51079443
j,28.08546821,63.59019695
j,28.08727305,63.12328281
j,27.57802522,62.82103866
j,27.77991911,63.51814752
j,28.58899981,63.02408057
j,28.7391415,62.72086389
j,27.02460324,62.90185886
j,28.8013367,63.38904039
j,27.18646384,63.55872965
j,29.2851466,63.38360583
j,39.4029453,51.1508572
j,28.81132844,61.35785406
j,34.30395791,56.54212591
j,29.60276098,60.15734672
j,49.11615686,63.66000062
j,39.61754583,62.92518796
j,43.23308466,63.16521872
j,64.89278794,65.81417676
j,62.49014932,74.58428961
j,68.98808443,63.23214731
j,62.10561863,75.99087076
j,32.46184674,62.88190292
j,41.32720065,49.07025127
j,44.00714993,46.44967378
j,44.07406069,34.55320389
j,44.00131524,33.90420735
j,45.00630045,38.29901955
j,44.44384061,36.0190833
j,42.1787134,26.49211948
j,44.04456562,35.66223828
j,41.64045402,27.09309542
j,41.93833001,24.99152298
j,44.05392751,33.55639249
j,39.20671933,51.5337157
j,28.70444923,61.7775254
j,31.7086629,58.83775437
j,42.81171147,30.02044842
j,43.30061489,31.5264262
j,40.39863291,16.34700838
j,40.43569158,20.23267068
j,40.93654667,16.91300484
j,39.66157367,15.60935558
j,40.89925918,20.79852895
j,41.96861683,26.4970726
j,40.38340582,21.39122552
j,56.53812645,32.44424547
j,52.97069128,29.04019669
j,54.62095259,30.34452445
j,65.09904439,27.24155756
j,63.05599091,29.70909567
j,70.96013623,41.25950129
j,69.89581924,43.45375927
j,70.59589286,41.96474387
j,69.64702143,44.04444502
j,77.39298249,63.37145906
j,64.40078719,67.44871845
j,63.86895983,70.21373883
j,56.59442132,86.92700622
j,56.53133729,87.49981107
j,59.65215837,87.80946159
j,56.6365087,85.63749556
j,58.672288,90.07716031
j,58.22161273,90.41101877
j,57.91466448,89.95380277
j,55.31550906,80.25186069
j,54.57572859,77.53628847
j,54.41309365,78.22908659
j,55.0745059,79.81754642
j,29.43296052,60.80177654
j,29.42268607,63.06846482
j,29.00561416,63.39075133
j,58.46183859,90.26532639
j,57.99780474,92.15990861
j,57.54947408,90.74890656
j,59.52992846,88.32727415
j,58.24939106,92.12968148
j,58.02451401,91.69442117
j,58.38212449,90.55347607
j,62.56675904,77.74393476
j,72.17582431,63.12892942
j,79.47276157,63.40868612
j,80.35770088,63.29543754
j,78.75723614,53.33262001
j,82.54023959,56.54105229
j,86.43589719,59.79276181
j,79.48868442,53.65167426
j,81.53042032,56.02536457
j,79.18678857,53.23479185
j,77.89905795,51.82245833
j,75.13071421,23.37244197
j,76.05801375,16.38374969
j,57.61467439,33.82244765
j,56.17139753,32.11798877
j,66.2878906,26.11710975
j,67.88171962,24.23601841
j,64.0280813,27.67268551
j,77.49665175,14.94852356
j,77.63465176,14.46185393
j,77.86372643,14.61067765
j,77.33815817,15.89005466
j,76.18041653,15.91257375
j,77.25265109,15.15151702
j,77.41337528,15.22192798
j,76.7318494,16.21684614
j,49.47110541,25.06301931
j,42.47653994,18.33847356
j,43.59511586,19.99420098
j,50.33996967,26.47139661
j,40.74898026,16.18214166
j,38.38652558,14.58021515
j,38.40401521,14.45194845
j,38.76427889,14.36559047
j,41.47014233,17.27803344
j,47.15540481,22.37793253
j,39.58256675,17.64845284
j,41.74024382,17.82932431
j,39.31187189,15.64071697
j,41.67984769,17.74591901
j,39.08746445,15.12230394
j,41.48150286,18.04743744
j,77.60608655,15.16287254
j,75.98266152,16.30692238
j,76.94575724,15.85847833
j,77.54372007,15.25394915
j,77.58473984,15.83003939
j,76.82230426,15.59516532
j,77.34857166,15.77452924
j,77.57315269,14.78064583
j,77.97261068,14.95569875
j,41.52891976,24.91642519
j,43.7225508,19.0773278
j,79.32607818,52.90039129
j,56.66397408,87.94012501
j,57.82178923,90.69316655
j,58.2431719,92.10432787
g,57.61323355,83.9051708
g,51.27439182,82.81798294
g,50.75389841,76.75412895
g,37.02118401,81.95447
g,42.88175509,80.18477005
g,37.15571048,84.95411141
g,38.73185813,83.78935643
g,31.00052541,82.5794806
g,25.98549962,74.34938755
g,23.71456629,75.09804908
g,23.07731951,71.72053967
g,24.93913687,72.58028581
g,17.89349871,71.10968734
g,23.67308186,64.87083914
g,23.74907191,63.5571719
g,32.21517863,65.60095802
g,29.43684125,67.55452811
g,40.0500952,71.88903357
g,37.57479502,69.98874444
g,49.31046863,67.16876032
g,47.34801855,72.59161154
g,50.15741443,71.16172582
g,58.21000827,68.04453807
g,56.60890766,70.40894609
g,52.83382053,72.55188627
g,61.81858546,76.11282402
g,61.72763341,77.06923841
g,62.19225208,76.15681921
g,58.11876586,73.11896147
g,58.27041238,35.59689504
g,59.76653031,32.6212516
g,52.53553472,27.17412294
g,50.89252158,29.14528394
g,49.96755118,28.46020333
g,51.34788323,27.36426023
g,37.55511629,24.53766384
g,39.19959418,23.68049566
g,36.3827222,25.23800523
g,41.10069438,26.55261322
g,28.21781182,28.28029248
g,33.79707204,28.69975074
g,43.91938731,27.79784459
g,44.41640111,28.94769233
g,28.03760277,26.80382436
g,31.68957613,26.66640021
g,27.27961285,19.25728097
g,31.22187836,26.44085578
g,33.5458051,20.0807081
g,39.73633061,23.49480698
g,42.84184265,20.33390044
g,47.09372989,26.99347063
g,51.45365835,26.02294175
g,49.36770682,22.0055807
g,48.25348097,29.27085553
g,61.00295976,30.01531443
g,60.8065608,27.86831349
g,59.06742702,26.78828402
g,61.41463372,31.03937506
g,68.93436947,31.61989309
g,63.06524386,34.23574659
g,72.27252287,67.64444379
g,75.35988197,75.42161458
g,72.83362587,72.11469381
g,70.81041484,79.35046183
g,45.80193476,81.65826775
g,45.83502017,82.74259199
g,40.07880645,80.24718526
g,51.9829247,82.20438347
g,57.33790605,84.99951887
g,62.33623276,83.2465679
g,58.50591009,81.74558634
g,56.24793514,83.51394949
g,55.40652083,80.26667197
g,53.28396884,84.26359922
g,44.67676155,80.23828555
g,30.01126425,68.14675637
g,29.74525392,74.40452683
g,37.30994835,72.5861552
g,61.13594691,82.53756936
g,61.72061919,85.70569345
g,63.60937986,83.36002884
g,70.72371623,87.15220752
g,75.00639264,82.42583516
g,75.09254978,83.43739071
g,70.32792918,82.0293547
g,70.86333083,79.40817475
g,75.77990482,79.88619942
g,78.09365907,77.75955818
g,76.74576122,71.97336009
g,78.46460344,69.74930082
g,76.74568485,70.04405726
g,85.16168219,65.51240471
g,91.80835257,34.96559448
g,91.88744859,34.76925386
g,92.24840166,32.37715443
g,91.78253274,34.38429465
g,96.08051937,28.0536005
g,92.24789883,28.07075149
g,57.66227662,24.06060793
g,59.84692489,26.17771249
g,64.06709621,27.77650056
g,60.9815014,23.93429816
g,59.96705791,26.80258322
g,62.70745411,21.99550858
g,69.1952352,22.70979217
g,65.59236265,20.6941731
g,64.61709853,22.44314555
g,59.19115913,17.76790181
g,55.83963137,21.61856967
g,59.00075862,21.17100749
g,56.45937113,25.14456421
g,52.35810536,19.41705412
g,51.81166378,17.0334946
g,54.22284562,19.50366554
g,49.0187554,23.48927402
g,35.6535812,17.51450806
g,46.96578576,16.78920162
g,49.58423926,16.75791601
g,51.85629997,21.96908401
g,55.95288863,16.7897576
g,51.66378626,19.9251252
g,45.85966932,17.12890368
g,39.74037952,18.74105141
g,52.81122164,17.85498812
g,56.78910436,17.30611552
g,54.11453178,17.67353439
g,55.57111973,17.36957458
g,65.3064625,18.19735483
g,66.99074915,17.22287065
g,72.15671894,16.81427479
g,70.9805804,17.15575228
g,72.22208221,19.3692817
g,79.70015835,20.74021837
g,64.24916065,14.91396246
g,66.94329143,20.1891325
g,66.94167666,18.24350939
g,39.64826665,22.73136637
g,37.94978369,26.52174923
g,86.50439056,34.89402529
g,50.81548536,78.95083881
g,51.18346666,85.12885465
g,40.86385523,82.9261453
e,51.14791671,90.86741233
e,50.51712581,89.10239459
e,50.2074802,85.4600474
e,50.06948192,83.05766953
e,50.56284634,82.93782178
e,50.2885278,82.97525357
e,25.58347508,82.91489113
e,25.48358339,82.92908498
e,25.4435257,82.8742005
e,25.56511342,82.92409777
e,25.92884427,82.82118411
e,27.55147826,51.48738653
e,27.53046637,51.41484656
e,27.09557036,52.07679944
e,27.43924961,51.71207905
e,27.87826426,50.70890793
e,27.33886892,51.65304675
e,27.67840297,51.18198917
e,52.63565768,51.41855226
e,52.02521411,52.12301105
e,52.88116479,50.62155476
e,52.95260731,50.07473901
e,52.52055249,51.5024421
e,52.34282206,51.86195209
e,51.92759021,52.25779061
e,52.71377449,51.19794432
e,50.44380279,82.94182882
e,50.21669503,83.75234297
e,52.18418011,51.97525067
